,word,POS,EN_translation
12674,uittesten,WW,test it out
12675,verzwakken,WW,weaken
12676,verwijdering,N,removal
12677,marmer,N,marble
12678,treinstation,N,railway station
12679,opheffing,N,cancellation
12680,bewijsstuk,N,documentary evidence
12681,bedreigend,ADJ,threatening
12682,immuunsysteem,N,immune system
12683,uitwijken,WW,Dodge
12684,effen,ADJ,solid
12685,rabarber,N,rhubarb
12686,statistisch,ADJ,statistically
12687,airconditioning,N,air conditioning
12688,aangrijpen,WW,seize
12689,laos,N,Laos
12690,huls,N,sleeve
12691,processor,N,Processor
12692,mechanische,ADJ,mechanical
12693,rekruten,N,recruits
12694,stoofpot,N,Stew
12695,ongehoorzaam,ADJ,disobedient
12696,erotisch,ADJ,erotic
12697,intuïtief,ADJ,intuitive
12698,waterstof,N,hydrogen
12699,bewonderenswaardig,ADJ,admirable
12700,onbetrouwbare,ADJ,unreliable
12701,bedrukt,ADJ,printed
12702,scholier,N,schoolboy
12703,expressie,N,expression
12704,dienstverband,N,employment
12705,aula,N,auditorium
12706,twisten,WW,argue
12707,verslaggeving,N,reporting
12708,paaseieren,N,easter eggs
12709,covers,N,covers
12710,instroom,N,influx
12711,sloom,ADJ,slow
12712,begaafd,ADJ,gifted
12713,gevoelloos,ADJ,numb
12714,verbranding,N,combustion
12715,omkijken,WW,look back
12716,windkracht,N,wind force
12717,blindelings,ADJ,blindly
12718,gentleman,N,gentleman
12719,supersnel,ADJ,Super fast
12720,regisseurs,N,directors
12721,weerleggen,WW,refute
12722,foetus,N,fetus
12723,geëerd,WW,honored
12724,voorwoord,N,preface
12725,scherpschutter,N,sharpshooter
12726,uitroepen,WW,call out
12727,verdubbel,WW,double
12728,oponthoud,N,delay
12729,huurling,N,mercenary
12730,springlevend,WW,alive and kicking
12731,krokant,ADJ,crispy
12732,hulpverlener,N,caregiver
12733,snowboarden,WW,snowboarding
12734,woordenschat,N,vocabulary
12735,welles,N,welles
12736,havermout,N,oatmeal
12737,pineut,N,screwed
12738,ester,N,ester
12739,lichting,N,batch
12740,bovenaf,BW,above
12741,memoires,N,memoirs
12742,bakstenen,ADJ,brick
12743,stift,N,marker
12744,dim,ADJ,dim
12745,samenkomst,N,meeting
12746,provoceren,WW,provoke
12747,banket,N,banquet
12748,gamba,N,gambas
12749,notulen,N,minutes
12750,nalezen,WW,read through
12751,verwittigen,WW,notify
12752,spareribs,N,spare ribs
12753,latten,WW,slats
12754,zigeuner,N,Gypsy
12755,ruimtelijk,ADJ,spatial
12756,amnestie,N,amnesty
12757,verfijnde,VZ,sophisticated
12758,dichtdoen,WW,close
12759,boeking,N,booking
12760,nageven,WW,give up
12761,turbulentie,N,turbulence
12762,aanduiding,N,indication
12763,buurjongen,N,boy next door
12764,kerstversiering,N,Christmas decorations
12765,middelvinger,N,middle finger
12766,katalysator,N,catalyst
12767,kinderkleding,N,children's clothing
12768,kittens,N,kittens
12769,eetzaal,N,Dining room
12770,profile,N,profile
12771,accuraat,ADJ,accurate
12772,kroket,N,croquette
12773,zenuw,N,nerve
12774,cipier,N,jailer
12775,bioloog,N,biologist
12776,sudderen,WW,simmer
12777,tweelingbroer,N,twin brother
12778,proefkonijn,N,guinea pig
12779,conservatieven,N,conservatives
12780,afvoeren,WW,discharge
12781,achteloos,ADJ,carelessly
12782,hangmat,N,hammock
12783,staatsloterij,N,state lottery
12784,hangar,N,hangar
12785,milt,N,spleen
12786,evenwichtig,ADJ,balanced
12787,opdringerig,ADJ,intrusive
12788,papers,N,papers
12789,mythologie,N,mythology
12790,opgang,N,ascent
12791,affiniteit,N,affinity
12792,dromer,N,dreamer
12793,stressen,WW,to stress
12794,mutant,N,mutant
12795,bezige,ADJ,busy
12796,afhandeling,N,handling
12797,coyote,N,coyote
12798,uitleveren,WW,deliver
12799,naïeve,ADJ,naive
12800,biezen,WW,rushes
12801,dies,WW,dies
12802,transmissie,N,transmission
12803,marktonderzoek,N,marketing research
12804,fotosessie,N,Photo session
12805,select,ADJ,select
12806,bloedneus,N,nose bleeding
12807,indelen,WW,classify
12808,misser,N,miss
12809,westerlingen,N,westerners
12810,maximumsnelheid,N,maximum speed
12811,huishouding,N,housekeeping
12812,schril,ADJ,shrill
12813,onderwijzen,WW,to educate
12814,giller,N,hoot
12815,heffing,N,levy
12816,moederbedrijf,N,parent company
12817,kraanwater,N,tap water
12818,gillende,WW,screaming
12819,arbiter,N,arbitrator
12820,hoorbaar,ADJ,audible
12821,proces-verbaal,N,police report
12822,toevluchtsoord,N,retreat
12823,hiertegen,BW,against this
12824,verwelkom,WW,welcome
12825,uitzieken,WW,run its course first
12826,akker,N,field
12827,versier,WW,decorate
12828,servetten,N,napkins
12829,ontmoedigen,WW,discourage
12830,juweeltje,N,little gem
12831,biet,N,beet
12832,jargon,N,jargon
12833,koffiedrinken,WW,drinking coffee
12834,neerstorten,WW,crash
12835,dorstig,ADJ,thirsty
12836,voorbeeldig,ADJ,exemplary
12837,nopjes,N,studs
12838,getypt,ADJ,typed
12839,cannabis,N,cannabis
12840,faxen,WW,faxing
12841,loondienst,N,salaried service
12842,regeringstroepen,N,government forces
12843,renoveren,WW,renovate
12844,onstabiel,ADJ,unstable
12845,significant,ADJ,significant
12846,stilzitten,WW,sitting still
12847,juk,N,yoke
12848,intrek,N,popular
12849,geschieden,WW,occur
12850,rechtssysteem,N,legal system
12851,doorhebben,WW,see through
12852,ouderschap,N,parenting
12853,hagen,N,hedges
12854,cheerleaders,N,cheerleaders
12855,wankelen,WW,falter
12856,greppel,N,ditch
12857,grammatica,N,grammar
12858,bieder,N,bidder
12859,sleutelhanger,N,keychain
12860,grootheid,N,greatness
12861,nalatigheid,N,negligence
12862,makelaardij,N,brokerage
12863,schaamhaar,N,pubic hair
12864,peuteren,WW,pick
12865,speelveld,N,playing field
12866,tiet,N,tit
12867,geruststellen,WW,to comfort
12868,talrijk,ADJ,numerous
12869,bouwput,N,construction pit
12870,karavaan,N,caravan
12871,viagra,N,viagra
12872,gangpad,N,aisle
12873,waaier,N,fan
12874,yang,N,yang
12875,wettig,ADJ,legal
12876,gelijken,WW,equals
12877,ijzersterk,ADJ,very strong
12878,houdend,WW,holding
12879,gebruiksaanwijzing,N,instructions
12880,spit,N,spit
12881,kwartet,N,quartet
12882,tijdlang,N,for a while
12883,imponeren,WW,impress
12884,finaal,ADJ,final
12885,loggen,WW,logging
12886,reusachtig,ADJ,huge
12887,manege,N,riding school
12888,zovele,ADJ,so many
12889,infiltreren,WW,infiltrate
12890,pinpas,N,debit card
12891,peetoom,N,godfather
12892,kustlijn,N,coastline
12893,transplantatie,N,transplant
12894,infrarood,ADJ,infra-red
12895,beoefenen,WW,practicing
12896,gestrest,N,stressed out
12897,apostelen,N,apostles
12898,dwaasheid,N,folly
12899,maxwell,N,maxwell
12900,politiewoordvoerder,N,police spokesman
12901,vegetariërs,N,vegetarians
12902,aanrijden,WW,drive up
12903,lachje,N,smile
12904,schacht,N,shaft
12905,marsepein,N,Marzipan
12906,rukker,N,wanker
12907,legio,ADJ,legion
12908,beeldspraak,N,metaphor
12909,nederigheid,N,humility
12910,insuline,N,insulin
12911,grappenmaker,N,joker
12912,speurwerk,N,detective work
12913,gaarne,N,please
12914,verdampt,WW,evaporated
12915,hacken,WW,hacking
12916,toenadering,N,rapprochement
12917,vla,N,custard
12918,persoonlijkheden,N,personalities
12919,tabel,N,table
12920,hoofdrolspeler,N,main role
12921,sieraad,N,jewelry
12922,geheiligd,N,sanctified
12923,deskundigheid,N,expertise
12924,wegjagen,WW,scare off
12925,natuurramp,N,natural disaster
12926,krikken,WW,jacks
12927,cello,N,cello
12928,ideologisch,ADJ,ideological
12929,mantra,N,mantra
12930,iaat,N,late
12931,veto,N,veto
12932,woonachtig,ADJ,resident
12933,renbaan,N,racecourse
12934,reset,N,reset
12935,non-actief,ADJ,inactive
12936,kussentje,N,pillow
12937,willekeur,N,arbitrariness
12938,middeleeuws,ADJ,medieval
12939,appreciëren,WW,to appreciate
12940,cholera,N,cholera
12941,residentie,N,residence
12942,marionet,N,puppet
12943,zalf,N,ointment
12944,uitzet,N,expands
12945,onderhevig,ADJ,subject
12946,studentenvereniging,N,student Association
12947,trillende,ADJ,vibrating
12948,kinderspel,N,child's play
12949,prediker,N,preacher
12950,blaft,WW,barks
12951,narcotica,N,narcotics
12952,uiteenzetting,N,explanation
12953,verkenners,N,scouts
12954,wachtende,ADJ,waiting
12955,milkshake,N,Milkshake
12956,rijpen,WW,ripen
12957,ontsluiting,N,opening up
12958,winstgevend,ADJ,profitable
12959,persvrijheid,N,freedom of the press
12960,kapers,N,hijackers
12961,kitsch,N,kitsch
12962,meting,N,measurement
12963,aardrijkskunde,N,geography
12964,verpletteren,WW,crush
12965,huurwoning,N,rental home
12966,bevordering,N,promotion
12967,kreupel,N,crippled
12968,morgana,N,morgana
12969,buitenste,ADJ,outer
12970,uitprinten,WW,print it out
12971,notebook,N,notebook
12972,neushoorn,N,Rhino
12973,biljart,N,billiards
12974,ombouwen,WW,converting
12975,naargelang,ADJ,according to
12976,kwellen,WW,torment
12977,buitensporig,ADJ,excessive
12978,niksen,WW,doing nothing
12979,participeren,WW,participate
12980,kniel,N,kneel down
12981,por,N,poke
12982,plateau,N,plateau
12983,schroevendraaier,N,screwdriver
12984,downloads,N,Downloads
12985,parasiet,N,parasite
12986,schandelijk,ADJ,disgraceful
12987,illustreren,WW,to illustrate
12988,walhalla,N,Walhalla
12989,veerman,N,ferryman
12990,potverdorie,N,damn it
12991,rechterarm,N,right arm
12992,split,N,split
12993,sterken,WW,to strengthen
12994,breekbaar,ADJ,fragile
12995,leefstijl,N,lifestyle
12996,lesbiennes,N,lesbians
12997,stock,N,stock
12998,veeleisend,ADJ,demanding
12999,kreupele,N,cripple
13000,up-to-date,ADJ,up to date
13001,verbazingwekkende,ADJ,amazing
13002,francs,N,francs
13003,beeldig,ADJ,charming
13004,leefmilieu,N,environment
13005,onklaar,ADJ,inoperative
13006,bijval,N,acclaim
13007,mormel,N,mutt
13008,overeenkomen,WW,agree
13009,neusje,N,nose
13010,gaas,N,mesh
13011,mussen,N,sparrows
13012,buitenwijk,ADJ,suburb
13013,braak,ADJ,fallow
13014,spiegeltje,N,mirror
13015,centimeters,N,centimeters
13016,huisvrouwen,N,housewives
13017,sovjets,N,soviets
13018,diskrediet,N,discredit
13019,weerloos,ADJ,defenseless
13020,dwarsbomen,WW,thwart
13021,dulden,WW,tolerate
13022,ambacht,N,craft
13023,boerin,N,peasant woman
13024,kleedkamers,N,changing rooms
13025,smiley,N,smiley
13026,vuurkracht,N,firepower
13027,hallen,WW,halls
13028,inzamelen,WW,collect
13029,chihuahua,N,chihuahua
13030,wals,N,waltz
13031,lekkende,WW,leaking
13032,kelner,N,waiter
13033,secretariaat,N,secretariat
13034,ineenstorting,N,collapse
13035,tune,N,tune
13036,stieren,WW,bulls
13037,kiel,N,keel
13038,verrekt,ADJ,damned
13039,krijgsmacht,N,armed forces
13040,replica,N,replica
13041,bladerdeeg,N,puff pastry
13042,optekenen,WW,record
13043,binnendringen,WW,intrusion
13044,uitzetting,N,eviction
13045,signaleren,WW,signaling
13046,doorsnijden,WW,cut through
13047,marktplein,N,market Square
13048,nonkel,N,uncle
13049,kinderlijk,ADJ,childlike
13050,boosdoener,N,culprit
13051,strek,N,stretch
13052,sop,N,suds
13053,vaat,N,dishes
13054,bolt,N,bolt
13055,plaatsvervangend,ADJ,deputy
13056,base,N,base
13057,sister,N,sister
13058,uitnodigend,ADJ,inviting
13059,onderzoekscommissie,N,commission of inquiry
13060,lastpak,N,troublemaker
13061,reclassering,N,probation
13062,onoverwinnelijk,ADJ,invincible
13063,fluwelen,ADJ,velvet
13064,opzitten,WW,sit up
13065,terugtrekking,N,withdrawal
13066,goudvis,N,goldfish
13067,choice,N,choice
13068,geschil,N,dispute
13069,belet,WW,prevented
13070,naarstig,ADJ,diligently
13071,startpunt,N,starting point
13072,concertgebouw,N,concert hall
13073,snaar,N,string
13074,noren,WW,noren
13075,verduidelijken,WW,clarify
13076,nok,N,ridge
13077,zoekactie,N,search
13078,meervoud,N,plural
13079,voorgaan,WW,precede
13080,meineed,N,perjury
13081,plasma,N,plasma
13082,ontmanteld,WW,dismantled
13083,bijpassend,ADJ,matching
13084,uitvoerend,WW,executive
13085,overheersing,N,domination
13086,afvuren,WW,to fire
13087,kinderboek,N,children's book
13088,vorstin,N,queen
13089,noodhulp,N,emergency relief
13090,gletsjer,N,glacier
13091,straight,N,straight
13092,regenbui,N,rain shower
13093,portaal,N,portal
13094,koeler,N,cooler
13095,aanstaan,WW,on
13096,dring,N,urge
13097,onophoudelijk,ADJ,continuously
13098,huishoudelijk,ADJ,domestic
13099,besneeuwde,ADJ,snowy
13100,razende,WW,raging
13101,roofdier,N,predator
13102,squash,N,squash
13103,basta,N,basta
13104,bedenker,N,creator
13105,toedienen,WW,to administer
13106,verzieken,WW,screw up
13107,raadkamer,N,council chamber
13108,dubieus,ADJ,dubious
13109,brandhout,N,firewood
13110,grieperig,ADJ,flu-like
13111,stang,N,Rod
13112,werktuig,N,tool
13113,brandalarm,N,fire alarm
13114,opsplitsen,WW,split up
13115,rollator,N,walker
13116,vorderen,WW,progress
13117,aanname,N,assumption
13118,spitsen,WW,strikers
13119,wasgoed,N,laundry
13120,tweeënhalf,TW,two and a half
13121,schaarste,N,scarcity
13122,terughoudendheid,N,restraint
13123,popster,N,pop star
13124,eland,N,moose
13125,schijfje,N,slice
13126,doortrekken,WW,continue
13127,bouwplaats,N,construction site
13128,sub,N,sub
13129,zeikerd,ADJ,whiner
13130,gemoed,N,mind
13131,cactus,N,cactus
13132,bekostigen,WW,pay
13133,opgewassen,ADJ,equal to
13134,dronkenschap,N,drunkenness
13135,schotten,N,bulkheads
13136,decreet,N,decree
13137,stomp,ADJ,stub
13138,afstappen,WW,step off
13139,radiator,N,radiator
13140,waarachtig,ADJ,truly
13141,ontbinden,WW,dissolve
13142,ongewijzigd,ADJ,unchanged
13143,confetti,N,confetti
13144,onderbewustzijn,N,subconsciousness
13145,benefiet,N,benefit
13146,geheid,ADJ,sure
13147,aanmerkelijk,ADJ,significant
13148,werkeloos,ADJ,unemployed
13149,teambuilding,N,team building
13150,bedaren,WW,calm
13151,fantasy,N,fantasy
13152,kroongetuige,N,crown witness
13153,lotje,N,lottery ticket
13154,pi,N,pi
13155,motorfiets,N,motorcycle
13156,windje,N,wind
13157,tout,N,tout
13158,upgraden,WW,upgrade
13159,lustig,ADJ,joyful
13160,kleinigheid,N,trifle
13161,voortvluchtig,ADJ,fugitive
13162,bloes,N,blouse
13163,huurauto,N,rental car
13164,veelzeggend,ADJ,significant
13165,darts,N,darts
13166,rooien,WW,grub
13167,brandstapel,N,funeral pyre
13168,onvergeeflijk,ADJ,inexcusable
13169,doorspelen,WW,play on
13170,borgsom,N,security deposit
13171,zichtbaarheid,N,visibility
13172,opleving,N,revival
13173,veraf,BW,far away
13174,schommel,N,swing set
13175,isoleercel,N,isolation cell
13176,reservoir,N,reservoir
13177,linkeroever,N,left bank
13178,globalisering,N,globalization
13179,teddybeer,N,teddy bear
13180,uilen,N,owls
13181,dubbelganger,N,doppelganger
13182,begeerte,N,desire
13183,noodlanding,N,emergency landing
13184,euvel,N,shortcoming
13185,brandpunt,N,focal point
13186,klaslokaal,N,classroom
13187,snotneus,N,snot nose
13188,splinter,N,splinter
13189,reduceren,WW,reduce
13190,werkenden,WW,workers
13191,sonar,N,sonar
13192,romein,N,Roman
13193,archeologen,WW,archaeologists
13194,verzorger,N,caregiver
13195,bedrading,N,wiring
13196,opwelling,N,impulse
13197,hola,N,hola
13198,traden,WW,trading
13199,essays,BW,essays
13200,franc,N,franc
13201,gapen,WW,yawn
13202,keerzijde,N,downside
13203,aanvoeren,WW,supply
13204,helderziend,N,clairvoyant
13205,wicht,N,weight
13206,veste,N,veste
13207,mozzarella,N,Mozzarella
13208,vervalsing,N,forgery
13209,extase,N,ecstasy
13210,rodeo,N,rodeo
13211,aston,N,aston
13212,dooien,WW,thaw
13213,verduistering,N,eclipse
13214,westers,ADJ,western
13215,sluipschutter,N,sniper
13216,dansend,ADJ,dancing
13217,reading,N,reading
13218,skaten,WW,skating
13219,grootsheid,N,greatness
13220,duikboot,N,submarine
13221,empire,N,Empire
13222,tovenarij,N,sorcery
13223,stimulerend,N,stimulating
13224,gewaad,N,robe
13225,zijnen,N,his
13226,sensor,N,sensor
13227,steward,N,flight attendant
13228,oriëntatie,N,orientation
13229,begeerde,N,coveted
13230,nullen,N,zeros
13231,uitladen,WW,unloading
13232,sieren,WW,adorn
13233,bramen,WW,blackberries
13234,horoscoop,N,horoscope
13235,hoofdstraat,N,main Street
13236,charisma,N,charisma
13237,deeltje,N,particle
13238,opschuiven,WW,move up
13239,identiteitskaart,N,identity card
13240,haverklap,N,oatmeal
13241,afwijkend,N,Divergent
13242,slapeloosheid,N,insomnia
13243,pincode,N,pin
13244,ontvoerder,ADJ,kidnapper
13245,ongeregeldheden,ADJ,disturbances
13246,schoolhoofd,N,school principal
13247,finalist,N,finalist
13248,elementaire,N,elementary
13249,levertijd,N,delivery time
13250,geregistreerde,N,registered
13251,ecosysteem,N,ecosystem
13252,brie,N,Brie
13253,politica,N,politician
13254,verknoeien,WW,mess up
13255,flitsende,ADJ,flashy
13256,zelfingenomen,N,self-righteous
13257,noordkant,N,Northside
13258,overmatig,ADJ,excessive
13259,uitmuntend,ADJ,excellent
13260,aangedreven,WW,powered
13261,gehore,N,hearing
13262,achterbak,N,trunk
13263,augurken,WW,pickles
13264,omgooien,WW,overturn
13265,raast,WW,rages
13266,markeren,WW,to mark
13267,autobiografie,N,autobiography
13268,autonoom,ADJ,autonomous
13269,volmacht,N,power of attorney
13270,tortelduifjes,N,lovebirds
13271,hysterie,N,hysteria
13272,barbaars,N,barbaric
13273,onderbouwen,WW,substantiate
13274,toentertijd,BW,at the time
13275,domoor,N,stupid
13276,controverse,N,controversy
13277,hartverscheurend,WW,heartbreaking
13278,onlosmakelijk,ADJ,inseparable
13279,zaakwaarnemer,N,agent
13280,ontsteken,WW,ignite
13281,rondkomen,WW,get by
13282,leader,N,leader
13283,verzoenen,WW,reconcile
13284,ergo,N,ergo
13285,porselein,N,porcelain
13286,chateau,N,chateau
13287,tussendoortje,N,snack
13288,hersentumor,N,brain tumor
13289,penarie,N,trouble
13290,operator,N,operator
13291,vroom,ADJ,pious
13292,dwaal,N,wander
13293,drumstel,N,drum kit
13294,gabber,N,gabber
13295,loge,N,lodge
13296,flamingo,N,flamingo
13297,onhoudbaar,ADJ,unsustainable
13298,imiteren,WW,imitate
13299,spijs,N,food
13300,bloedheet,ADJ,scorching hot
13301,trappenhuis,N,stairwell
13302,hoofdpersonage,N,main character
13303,zorgzaam,ADJ,caring
13304,trekpleister,N,attraction
13305,taxatie,N,taxation
13306,isolement,N,isolation
13307,kleppen,WW,valves
13308,reine,N,clean
13309,gewin,N,gain
13310,glazuur,N,glaze
13311,graaien,WW,grabbing
13312,scheel,ADJ,squint
13313,loeren,WW,lurk
13314,schuldigen,WW,guilty
13315,tegenaanval,N,counterattack
13316,gymnasium,N,gymnasium
13317,importeur,N,importer
13318,vlaag,N,flurry
13319,afremmen,WW,brake
13320,fictief,ADJ,fictional
13321,afdalen,WW,descend
13322,pluis,N,fluff
13323,jammeren,WW,whine
13324,scharrelen,WW,scrape
13325,outdoor,ADJ,outdoor
13326,slachthuis,N,slaughterhouse
13327,screen,N,screen
13328,parlementair,ADJ,parliamentary
13329,kiek,N,snapshot
13330,bleekscheet,N,pale fart
13331,oprukken,WW,advance
13332,atletiek,N,athletics
13333,boots,N,boots
13334,vervalsen,WW,falsify
13335,toontje,N,tone
13336,oogopslag,N,glance
13337,wasserij,N,laundry
13338,vrijaf,ADJ,time off
13339,prijsgeven,WW,give up
13340,deurbel,N,doorbell
13341,ventilatie,N,ventilation
13342,bovenverdieping,N,upstairs
13343,bouwvergunning,N,building permit
13344,travestiet,N,transvestite
13345,weerzinwekkend,N,disgusting
13346,gedragscode,N,code of conduct
13347,filet,N,fillet
13348,fotografe,N,photographer
13349,volmondig,ADJ,wholeheartedly
13350,resetten,WW,reset
13351,verslinden,WW,devour
13352,voorkennis,N,foreknowledge
13353,onregelmatig,ADJ,irregular
13354,beieren,N,Bavaria
13355,beminnen,WW,love
13356,prikbord,N,Bulletin board
13357,strippen,WW,stripping
13358,invoer,N,imports
13359,deuropening,N,doorway
13360,herschreven,WW,rewritten
13361,kruiwagen,N,wheelbarrow
13362,plof,N,thud
13363,platenmaatschappij,N,record company
13364,moleculen,N,molecules
13365,ongegrond,ADJ,unfounded
13366,naamgenoot,N,namesake
13367,sprankelend,ADJ,sparkling
13368,experimenteel,ADJ,experimental
13369,afgrijselijk,ADJ,ghastly
13370,gebakje,N,pastry
13371,overwicht,N,preponderance
13372,proefwerk,N,test work
13373,legendes,N,legends
13374,zuiniger,ADJ,more economical
13375,prater,N,talker
13376,slijpen,WW,sharpen
13377,stoffelijk,ADJ,material
13378,kuiper,N,cooper
13379,steekpartij,N,stabbing
13380,aanbid,N,worship
13381,redigeren,WW,editing
13382,underground,WW,underground
13383,cutter,N,cutter
13384,vijandelijk,ADJ,hostile
13385,arabier,N,arab
13386,zwakkere,ADJ,weaker
13387,terugvallen,WW,relapse
13388,elven,N,elves
13389,gespuis,N,riffraff
13390,toedracht,N,circumstances
13391,fleece,ADJ,fleece
13392,terloops,ADJ,casually
13393,salto,N,somersault
13394,mees,N,tit
13395,heroveren,WW,recapture
13396,insmeren,WW,lubricate
13397,hotspot,N,hotspot
13398,precedent,N,precedent
13399,broodrooster,N,toaster
13400,partijcongres,N,party congress
13401,werkstraf,N,community service
13402,kwijl,N,drool
13403,vliegbasis,N,airbase
13404,klieren,WW,glands
13405,ploeteren,WW,slog
13406,kliek,N,clique
13407,voorhoede,N,forefront
13408,zwijgend,ADJ,tight-lipped
13409,genuanceerd,ADJ,nuanced
13410,aftocht,N,retreat
13411,utopie,N,Utopia
13412,orka,N,killer whale
13413,navel,N,belly button
13414,winkelcentra,N,shopping centres
13415,toelage,N,allowance
13416,slijk,N,mud
13417,braden,WW,roast
13418,neerhalen,WW,take down
13419,verdringen,WW,displace
13420,pessimistisch,ADJ,pessimistic
13421,verdraagzaamheid,N,tolerance
13422,verpleging,N,nursing
13423,oververhit,ADJ,overheated
13424,zwendel,N,scam
13425,vijftal,N,five
13426,buizerd,N,buzzard
13427,navigeren,WW,navigate
13428,orgie,N,orgy
13429,rijbaan,N,Roadway
13430,bewapende,WW,armed
13431,holden,N,holden
13432,vooronderzoek,N,preliminary investigation
13433,draaimolen,N,carousel
13434,fotogeniek,ADJ,photogenic
13435,trampoline,N,trampoline
13436,afgetrokken,N,deducted
13437,terugzetten,WW,put back
13438,woonhuis,N,residential building
13439,inboedel,N,household effects
13440,verrukt,ADJ,delighted
13441,bijzaak,N,side issue
13442,driedaagse,N,three days
13443,miljardair,N,billionaire
13444,pelgrims,N,pilgrims
13445,smoren,WW,smother
13446,doelbewust,ADJ,purposefully
13447,onrechtmatig,ADJ,unlawful
13448,slachtpartij,N,massacre
13449,lieflijk,ADJ,lovely
13450,tijdbom,N,time bomb
13451,verpakken,WW,packing
13452,zijzelf,VNW,herself
13453,kier,N,ajar
13454,uitlokken,WW,provoke
13455,rechtuit,ADJ,straight forward
13456,skipper,N,skipper
13457,jonker,N,squire
13458,dille,N,dill
13459,vrijgezellen,N,bachelors
13460,kokos,N,coconut
13461,interviewer,N,interviewer
13462,verdrink,N,drown
13463,python,N,python
13464,buitenhuis,N,country house
13465,mededelen,WW,to communicate
13466,component,N,component
13467,pakkende,ADJ,catchy
13468,boodschappenlijstje,N,grocery list
13469,briesje,N,breeze
13470,drummen,WW,play the drums
13471,grofweg,VZ,roughly
13472,hoofdklasse,N,main class
13473,eert,N,honors
13474,doodstil,ADJ,dead silent
13475,overzetten,WW,transfer
13476,aanhalen,WW,tighten
13477,voetafdruk,N,footprint
13478,underdog,N,underdog
13479,wandelaar,N,hiker
13480,cheeseburger,N,cheeseburger
13481,gecodeerd,WW,encrypted
13482,liesje,N,liesje
13483,soja,N,soy
13484,aansturen,WW,control
13485,manoeuvre,N,maneuver
13486,etiquette,N,etiquette
13487,spelt,N,spelled
13488,urgentie,N,urgency
13489,prikkelen,WW,excite
13490,wasserette,N,laundry service
13491,broos,ADJ,brittle
13492,muiterij,N,mutiny
13493,vangnet,N,safety net
13494,pages,N,pages
13495,schut,N,embarrassment
13496,fancy,N,fancy
13497,inlopen,WW,walk in
13498,hinderen,WW,hinder
13499,janus,N,Janus
13500,progressie,N,progression
13501,halsketting,N,necklace
13502,dronkaard,ADJ,drunkard
13503,andijvie,N,endive
13504,gemaskerde,WW,masked
13505,aarzelend,WW,hesitantly
13506,klakkeloos,ADJ,indiscriminately
13507,wellington,N,wellington
13508,zelfgebakken,WW,home baked
13509,chipkaart,N,chip card
13510,waarbinnen,BW,within which
13511,range,N,range
13512,weloverwogen,ADJ,considered
13513,saloon,N,saloon
13514,ex-vriend,ADJ,ex boyfriend
13515,familienaam,N,family name
13516,einddoel,N,ultimate goal
13517,gewaarwording,N,sensation
13518,knoei,N,mess
13519,anus,N,anus
13520,bemoeienis,N,interference
13521,ondertoon,N,undertone
13522,landmacht,N,army
13523,feestmaal,N,banquet
13524,moederschap,N,maternity
13525,musketiers,N,musketeers
13526,quiche,N,Quiche
13527,formules,N,formulas
13528,louche,ADJ,seedy
13529,bungalow,N,bungalow
13530,cordon,N,cordon
13531,elektra,N,electricity
13532,flitser,N,flash
13533,ophoesten,WW,cough up
13534,bestoken,WW,harass
13535,geboortestad,N,hometown
13536,vitrine,N,display case
13537,stroomversnelling,N,rapids
13538,henzelf,VNW,themselves
13539,hoofdsponsor,N,main sponsor
13540,audit,N,audit
13541,trilogie,N,trilogy
13542,meerderen,WW,superiors
13543,push,N,push
13544,slagerij,N,butchery
13545,malaga,N,Malaga
13546,biljet,N,ticket
13547,bedrijvigheid,N,activity
13548,hezbollah,N,hezbollah
13549,geneuzel,N,posturing
13550,hemelvaart,N,Ascension Day
13551,zwelling,N,swelling
13552,zap,N,zap
13553,wisseling,N,change
13554,zaligheid,N,salvation
13555,heller,N,heller
13556,bespraken,WW,discussed
13557,verschrikking,N,horror
13558,beginner,N,beginner
13559,jackman,N,jackman
13560,subject,N,subject
13561,spatten,WW,splash
13562,verrijzen,WW,arise
13563,fleurig,ADJ,bright
13564,exploiteren,WW,exploit
13565,welverdiend,ADJ,well deserved
13566,units,N,units
13567,tuinhuis,N,garden shed
13568,moedervlek,N,birthmark
13569,valuta,N,currencies
13570,tai,N,tai
13571,broche,N,brooch
13572,sneakers,N,sneakers
13573,labrador,N,labrador
13574,subjectief,ADJ,subjective
13575,laaiend,ADJ,blazing
13576,kitten,WW,kitten
13577,knaller,N,stunner
13578,schrapen,WW,scrape
13579,bezoekerscentrum,N,visitor center
13580,manicure,N,manicure
13581,tegenprestatie,N,compensation
13582,gerechtsgebouw,N,courthouse
13583,pinguïn,N,penguin
13584,kluts,N,bump
13585,pepers,N,peppers
13586,burgerschap,N,citizenship
13587,glutenvrij,ADJ,gluten free
13588,fregat,N,frigate
13589,behelpen,WW,make do
13590,lyceum,N,lyceum
13591,frisbee,N,frisbee
13592,muil,N,mouth
13593,brutaliteit,N,brutality
13594,ademloos,ADJ,breathless
13595,cubanen,N,cubans
13596,diskette,N,diskette
13597,levensstandaard,N,standard of living
13598,dromenland,N,dreamland
13599,aanbidding,N,worship
13600,vonken,WW,sparks
13601,host,N,host
13602,aardgas,N,natural gas
13603,onwennig,ADJ,ill at ease
13604,doodvonnis,N,death sentence
13605,trainingsdag,N,training day
13606,dildo,N,dildo
13607,anticiperen,WW,anticipate
