,word,POS,EN_translation,lidwoord
14539,farce,N,farce,de
14540,curve,N,curve,de
14541,koppositie,N,leading position,
14542,toasten,WW,toast,
14543,wonderwel,ADJ,wonderful,
14544,ondertekening,N,signature,
14545,proviand,N,provisions,de
14546,rozenkrans,N,rosary,de
14547,mineraalwater,N,mineral water,het
14548,ki,N,ki,de
14549,verkoopprijs,N,selling price,de
14550,romig,ADJ,creamy,
14551,knabbelen,WW,nibble,
14552,morsdood,ADJ,stone-dead,
14553,poncho,N,poncho,de
14554,stemgeluid,N,voice,het
14555,monopoly,N,monopoly,het
14556,prijzengeld,N,prize money,het
14557,gage,ADJ,gage,
14558,groters,ADJ,bigger,
14559,combo,N,combo,de
14560,inname,N,intake,de
14561,vervuilen,WW,to pollute,
14562,vaardig,ADJ,skillfully,
14563,minpuntje,N,minus,het
14564,ondergeschikte,N,subordinate,
14565,flitsend,ADJ,flashy,
14566,onaangekondigd,ADJ,unannounced,
14567,onfatsoenlijk,ADJ,indecent,
14568,uitzwaaien,WW,wave goodbye,
14569,arbeidsomstandigheden,N,Working Conditions,mv.
14570,zwaluw,N,swallow,de
14571,onderonsje,N,chat,het
14572,reiskosten,N,travel expenses,mv
14573,oudjaar,N,New Year's Eve,het
14574,vriendschappelijk,ADJ,friendly,
14575,bedrieg,N,cheat,
14576,ongezellig,ADJ,cheerless,
14577,skateboard,N,skateboard,het
14578,aanwenden,WW,employ,
14579,onverwoestbaar,ADJ,indestructible,
14580,zwavel,N,sulfur,de
14581,harmony,N,harmony,de
14582,zuidkant,N,south side,de
14583,belichten,WW,illuminate,
14584,dierenwinkel,N,pet Shop,de
14585,kelk,N,chalice,de
14586,voortduren,WW,continue,
14587,overheidsdienst,N,government service,
14588,reformatie,N,reformation,de
14589,grondwater,N,groundwater,de
14590,gekant,ADJ,opposed,
14591,vertolking,N,interpretation,werkwoord
14592,black-out,N,black out,de
14593,onrechtvaardigheid,N,injustice,
14594,levenslicht,N,light of life,bijvoeglijk
14595,dertiger,N,thirties,bijvoeglijk
14596,feature,N,feature,de
14597,opkikker,N,pick-me-up,de
14598,rockster,N,rock star,de
14599,sneuvelde,WW,died,
14600,onderzoeksteam,N,research team,de
14601,afmeting,N,size,werkwoord
14602,bouwvakker,N,construction worker,de
14603,ivoor,BW,ivory,
14604,boxer,N,boxer,de
14605,onderhoudend,ADJ,entertaining,
14606,overmeesteren,WW,overpower,
14607,toneelstukken,N,plays,
14608,patholoog,N,pathologist,de
14609,enen,BW,ones,
14610,modewereld,N,fashion world,
14611,nachtelijk,ADJ,nocturnal,
14612,onderdirecteur,N,vice president,
14613,onprettig,ADJ,unpleasant,
14614,asjemenou,N,asjemenou,
14615,kangoeroe,N,kangaroo,de
14616,obsceen,ADJ,obscene,
14617,gedrongen,WW,squat,
14618,inboorlingen,N,natives,de
14619,verdrukking,N,tribulation,de
14620,verbolgen,WW,incensed,
14621,besmetten,WW,to contaminate,
14622,berokkenen,WW,harm,
14623,boks,N,boxing,de
14624,pornofilm,N,porn movie,de
14625,balbezit,N,ball possession,
14626,klokhuis,N,core,het
14627,voortvarend,ADJ,energetic,
14628,zelfspot,N,self-mockery,de
14629,onofficieel,ADJ,unofficially,
14630,spaarpot,N,piggy bank,de
14631,genoegdoening,N,satisfaction,
14632,resulteren,WW,result,
14633,rijgedrag,N,driving behavior,het
14634,comfortabeler,ADJ,more comfortable,
14635,lease,WW,lease,
14636,projecteren,WW,project,
14637,repliek,N,reply,de
14638,radiocontact,N,radio contact,
14639,grenzeloos,ADJ,limitless,
14640,naïviteit,N,naivety,de
14641,vastpakken,WW,grasp,
14642,wolfgang,ADJ,wolfgang,
14643,trainingsmissie,N,training mission,
14644,charmeur,N,charmer,de
14645,aluminiumfolie,N,aluminium foil,de/het
14646,zitplaats,N,seat,de
14647,contreien,N,regions,mv.
14648,doorzien,WW,see through,
14649,boventoon,N,overtone,
14650,verbleken,WW,pale,
14651,keyboard,N,keyboard,het
14652,zuil,N,column,de
14653,bederf,N,spoilage,
14654,anaal,ADJ,anal,
14655,haarkleur,N,hair colour,werkwoord
14656,mettertijd,N,over time,
14657,password,N,password,het
14658,middagdutje,N,afternoon nap,
14659,daal,ADJ,descend,
14660,roodborstje,N,robin,het
14661,superhelden,N,superheroes,bijvoeglijk
14662,genialiteit,N,genius,
14663,trilling,N,vibration,de
14664,tod,N,tod,de
14665,wapenen,WW,arm,
14666,dagtaak,N,day job,werkwoord
14667,waterig,ADJ,aqueous,
14668,kroning,N,coronation,de
14669,petroleum,N,petroleum,de
14670,lafbek,N,coward,de
14671,voorgevel,N,front,werkwoord
14672,thermostaat,N,thermostat,de
14673,bes,N,berry,de
14674,roltrap,N,escalator,de
14675,zoetigheid,N,sweets,de
14676,geul,N,trench,
14677,geleuter,N,drivel,de
14678,opwaaien,WW,blow up,
14679,gelang,N,depending,de
14680,reorganiseren,WW,reorganize,
14681,zangles,N,singing lessons,de
14682,agrarisch,ADJ,agricultural,
14683,demi,N,demi,
14684,telen,WW,grow,
14685,keramiek,N,ceramic,de
14686,onvriendelijk,ADJ,unfriendly,
14687,inkeer,N,repentance,het
14688,matten,WW,mats,
14689,tor,N,tor,de
14690,speelruimte,N,leeway,de
14691,rijder,N,rider,de
14692,herstart,N,restart,de
14693,morbide,ADJ,morbid,
14694,overtocht,N,crossing,het
14695,bits,ADJ,bits,
14696,wroeten,WW,rooting,
14697,seksen,WW,sexes,
14698,trol,N,troll,de
14699,voorraadkast,N,pantry,de
14700,landsbelang,N,national interest,het
14701,ertegenaan,BW,against it,
14702,draaiend,ADJ,rotating,
14703,area,N,area,de
14704,sneeuwbal,N,snowball,de
14705,haarfijn,ADJ,very fine,
14706,synergie,N,synergy,de
14707,fossiel,N,fossil,het
14708,wereldbeker,N,world cup,het
14709,troepenmacht,N,force,de
14710,gedrevenheid,N,drive,
14711,specerijen,N,spices,de
14712,kwekerij,N,nursery,werkwoord
14713,egoïst,N,egoist,de
14714,tekenfilm,N,animated movie,
14715,oneindigheid,N,infinity,
14716,blabla,N,blah blah,de
14717,polsslag,N,pulse,werkwoord
14718,zonnebrand,N,sunburn,de
14719,banaal,ADJ,banal,
14720,korset,N,corset,het
14721,smurfen,WW,smurfs,
14722,loopjongen,N,bellboy,de
14723,rancune,N,rancor,de
14724,watertoren,N,water tower,het
14725,verloedering,N,deterioration,werkwoord
14726,eter,N,eater,de
14727,troonopvolger,N,heir apparent,de
14728,watts,N,watts,de
14729,augurk,BW,pickle,
14730,bekvechten,WW,argue,
14731,rechtsboven,N,top right,
14732,neurotisch,ADJ,neurotic,
14733,lichaamsbeweging,N,exercise,
14734,unicum,N,unique,het
14735,target,N,target,de/het
14736,sollicitant,N,applicant,de
14737,individualisme,N,individualism,werkwoord
14738,mechanisch,ADJ,mechanical,
14739,kleuterklas,N,kindergarten,
14740,stroef,ADJ,rough,
14741,barbaar,ADJ,barbarian,
14742,inbouwen,WW,build in,
14743,mooiers,ADJ,nicer,
14744,afrikaan,N,African,de
14745,titelverdediger,N,defending champion,
14746,woonboot,N,houseboat,
14747,verstoken,ADJ,deprived,
14748,tennisbaan,N,tennis court,het
14749,folk,N,folk,de
14750,kapitalistisch,ADJ,capitalist,
14751,heenweg,BW,way there,
14752,welhaast,BW,almost,
14753,propere,WW,clean,
14754,overheidsgeld,N,government money,het
14755,zonnestraal,N,sunbeam,de
14756,verorberen,WW,devour,
14757,onderzeeërs,ADJ,submarines,
14758,leerproces,N,learning process,het
14759,wankel,ADJ,shaky,
14760,speling,N,clearance,het
14761,implantaat,N,implant,werkwoord
14762,zelfmoordpoging,N,suicide attempt,de
14763,hormoon,N,hormone,het
14764,geldbedrag,N,money amount,
14765,jonk,N,junk,de
14766,afsteken,WW,parting,
14767,toom,N,bridle,de
14768,copyright,N,copyright,het
14769,tic,N,tic,de
14770,welwillend,ADJ,benevolent,
14771,nagerecht,N,dessert,het
14772,directeur-generaal,N,director general,de
14773,linkerbeen,N,left leg,
14774,achterbuurt,N,slum,de
14775,standvastig,ADJ,steadfast,
14776,fitnessen,WW,fitness,
14777,kluif,N,bone,de
14778,wijnkelder,N,wine cellar,
14779,teloorgang,N,loss,de
14780,linkshandig,ADJ,left-handed,
14781,projectiel,N,projectile,het
14782,nik,ADJ,nothing,
14783,westwaarts,ADJ,westward,
14784,schoolbus,N,school bus,de
14785,mof,N,sleeve,de
14786,pluisje,N,lint,de
14787,ferm,ADJ,firm,
14788,faillissementen,N,bankruptcies,het
14789,kijkplezier,N,viewing pleasure,
14790,wringen,WW,wring,
14791,dampen,WW,fumes,
14792,weerzin,N,disgust,bijvoeglijk
14793,aftiteling,N,credits,
14794,saxofoon,N,saxophone,de
14795,eetpatroon,N,diet,
14796,triestig,ADJ,saddening,
14797,herdenkingsdienst,N,Memorial service,
14798,decennialang,ADJ,for decades,
14799,stijg,WW,rise,
14800,vervoegen,WW,conjugate,
14801,zweef,N,float,werkwoord
14802,leugendetector,N,lie detector,de
14803,najagen,WW,chase after,
14804,berusten,WW,acquiesce,
14805,zakenvrouw,N,businesswoman,
14806,jongleren,WW,juggle,
14807,bewijslast,N,burden of proof,het
14808,aanduiden,WW,indicate,
14809,slop,N,slop,het
14810,bezetter,N,occupier,de
14811,achterkamer,N,backroom,het
14812,heesters,N,shrubs,bijvoeglijk
14813,verkloten,WW,screwed up,
14814,originaliteit,N,originality,de
14815,slof,N,slipper,werkwoord
14816,standhouden,WW,hold on,
14817,verkoopcijfers,N,sales figures,
14818,schrammen,WW,scratches,
14819,mint,N,mint,de/het
14820,cocon,N,cocoon,de
14821,reling,N,railing,de
14822,wendt,WW,turns,
14823,hongerstaking,N,hunger strike,werkwoord
14824,spetter,N,hot shot,werkwoord
14825,behuizing,N,housing,
14826,etterbak,N,pus,werkwoord
14827,concessie,N,concession,de
14828,abuis,N,mistake,het
14829,glashelder,ADJ,crystal clear,
14830,garnizoen,N,garrison,het
14831,onaantrekkelijk,ADJ,unattractive,
14832,onprofessioneel,ADJ,unprofessional,
14833,taks,N,tax,de
14834,lappenmand,N,rag basket,
14835,wenkbrauw,N,eyebrow,de
14836,piercing,N,piercing,de
14837,pijpleiding,N,pipeline,
14838,nijlpaard,N,hippopotamus,het
14839,rugdekking,N,back cover,de
14840,capsules,N,capsules,de
14841,stelten,N,stilts,werkwoord
14842,burgervader,N,mayor,
14843,gekneusd,ADJ,bruised,
14844,alt,N,alt,de
14845,uitspelen,WW,play it out,
14846,imposant,ADJ,impressive,
14847,avonturier,N,adventurer,werkwoord
14848,waarvandaan,BW,from where,
14849,discrimineren,WW,discriminate,
14850,prutser,N,tinker,werkwoord
14851,gigolo,N,gigolo,de
14852,gestructureerd,ADJ,structured,
14853,hack,N,hack,het
14854,affectie,N,affection,de
14855,fragiel,ADJ,fragile,
14856,nationalisten,N,nationalists,werkwoord
14857,marktwaarde,N,market value,de
14858,plotsklaps,ADJ,suddenly,
14859,zienswijze,N,view,
14860,straatverbod,N,restraining order,
14861,vuurpeloton,N,firing squad,
14862,terugslaan,WW,hit back,
14863,kelen,WW,throats,
14864,boa,N,boa,de
14865,gedocumenteerd,ADJ,documented,
14866,geldboete,N,fine,
14867,skyline,N,skyline,de
14868,voetpad,N,footpath,de
14869,hersenletsel,N,brain injury,
14870,uitputting,N,exhaustion,de
14871,schoonheidssalon,N,beauty salon,
14872,studententijd,N,student time,de
14873,adieu,N,Adieu,het
14874,uitdager,N,challenger,de
14875,woordkeuze,N,word choice,
14876,strateeg,N,strategist,de
14877,ontketenen,WW,unleash,
14878,scheepvaart,N,shipping,de
14879,bedenktijd,N,reflection period,
14880,huiverig,ADJ,hesitant,
14881,handrem,N,handbrake,de
14882,ternauwernood,BW,barely,
14883,middelmatig,ADJ,mediocre,
14884,nazomer,N,late summer,de
14885,verergeren,WW,worsen,
14886,ravioli,N,ravioli,de
14887,labo,N,lab,het
14888,uitvoerbaar,ADJ,executable,
14889,tackle,N,tackle,de
14890,palet,N,palette,de/het
14891,moraliteit,N,morality,de
14892,speerpunt,N,spearhead,de/het
14893,teamgenoot,N,teammate,de
14894,wokken,WW,stir fry,
14895,gringo,N,gringo,het
14896,prefectuur,N,prefecture,de
14897,inkorten,WW,shorten,
14898,vermeend,ADJ,alleged,
14899,voorvallen,WW,occurrences,
14900,hartig,ADJ,hearty,
14901,vijftigduizend,TW,fifty thousand,
14902,razernij,N,frenzy,de
14903,insteken,WW,plug in,
14904,fiction,N,fiction,werkwoord
14905,gulp,N,fly,werkwoord
14906,alcoholgebruik,N,alcohol consumption,
14907,krankzinnigheid,N,insanity,de
14908,tumult,N,uproar,het
14909,schaven,WW,planing,
14910,snak,N,long,de
14911,handgeschreven,N,handwritten,bijvoeglijk
14912,sprei,N,bedspread,de
14913,stilleggen,WW,shut down,
14914,heroverwegen,WW,reconsider,
14915,erotiek,N,eroticism,de
14916,begripvol,ADJ,understanding,
14917,bestraffen,WW,to punish,
14918,wafel,N,waffle,de
14919,bontjas,N,fur coat,het
14920,bries,N,breeze,werkwoord
14921,mousse,N,mousse,de
14922,sweater,N,sweater,de
14923,zonnebloem,N,sunflower,de
14924,luitenant-kolonel,N,Lieutenant Colonel,de
14925,telefoonlijn,N,telephone line,de
14926,loden,ADJ,lead,
14927,herenhuis,N,mansion,het
14928,hermetisch,ADJ,hermetically,
14929,parasol,N,Beach umbrella,de
14930,franchise,N,franchise,de
14931,spotlight,N,spotlight,het
14932,merg,N,marrow,de
14933,gejammer,N,wail,
14934,kortgeleden,BW,recently,
14935,rivaliteit,N,rivalry,de
14936,all-in,ADJ,all-in,
14937,cabriolet,N,convertible,de
14938,benzinemotor,N,petrol engine,de
14939,uitgewist,WW,obliterated,
14940,lenig,ADJ,agile,
14941,emerald,N,emerald,het
14942,glorieus,ADJ,glorious,
14943,brander,N,burner,werkwoord
14944,wablief,ADJ,excuse me,
14945,cuisine,N,cuisine,de
14946,levenservaring,N,life experience,
14947,ongehoorzaamheid,N,disobedience,
14948,kandelaar,N,candle holder,de
14949,guur,ADJ,bleak,
14950,dobbelen,WW,dice,
14951,denkwijze,N,way of thinking,de
14952,treinkaartje,N,train ticket,
14953,geruzie,N,quarreling,het
14954,reiniging,N,cleaning,de
14955,habitat,N,habitat,de
14956,controleur,N,controller,de
14957,zeelui,N,sailors,het
14958,ontmoetingsplaats,N,meeting place,
14959,levensvorm,N,life form,de
14960,metrolijn,N,metro line,de
14961,kletsnat,ADJ,drench,
14962,pensioenregeling,N,pension scheme,
14963,besluipen,WW,stalk,
14964,peg,N,peg,de
14965,toegangscode,N,access code,de
14966,tederheid,N,tenderness,
14967,kwadrant,N,quadrant,het
14968,cd-speler,N,CD player,de
14969,webmaster,N,webmaster,de
14970,klucht,N,farce,de
14971,onomkeerbaar,ADJ,irreversible,
14972,modieus,ADJ,fashionable,
14973,achterdocht,N,suspicion,het
14974,bezwijken,WW,succumb,
14975,peuken,N,butts,de
14976,staatsburger,N,citizen,
14977,gegrond,ADJ,grounded,
14978,complimenteren,WW,to compliment,
14979,bankoverval,N,bank robbery,
14980,wegzetten,WW,put away,
14981,rechtstaat,N,rule of law,de
14982,oostkant,N,east side,mv.
14983,gebarentaal,N,sign language,de
14984,absorberen,WW,absorb,
14985,kettingzaag,N,chainsaw,de
14986,grind,N,gravel,het
14987,ontsporen,WW,derail,
14988,prefect,N,prefect,de
14989,padvinders,N,Scouts,de
14990,reconstrueren,WW,reconstruct,
14991,elektricien,N,electrician,de
14992,buitenleven,N,outdoors,de
14993,trom,N,drum,de
14994,aktetas,N,briefcase,de
14995,coolste,ADJ,coolest,
14996,gevechtsvliegtuig,N,fighter plane,
14997,toverwoord,N,magic word,
14998,delicaat,ADJ,delicate,
14999,diender,N,servant,de
15000,componeren,WW,compose,
15001,eigenzinnig,ADJ,quirky,
15002,fabriceren,WW,manufacture,
15003,pooiers,N,pimps,de
15004,daarbovenop,BW,on top of that,
15005,klokkenluider,N,whistleblower,de
15006,verstrooid,ADJ,scattered,
15007,afwikkeling,N,settlement,
15008,tobben,WW,worry,
15009,tred,N,step,de
15010,afgezant,N,emissary,bijvoeglijk
15011,vinder,N,finder,de
15012,pels,N,fur,de
15013,voedzaam,ADJ,nutritious,
15014,opstrijken,WW,iron on,
15015,jaarsalaris,N,annual salary,
15016,roven,WW,rob,
15017,non-fictie,N,non-fiction,de
15018,wezel,N,weasel,het
15019,verordening,N,regulation,
15020,dispuut,N,dispute,het
15021,uitbarsten,WW,erupt,
15022,dwangbuis,N,straight jacket,het
15023,verzorgingstehuis,N,nursing home,
15024,slaapje,N,are you sleeping,de
15025,bowl,N,Bowl,de
15026,wedergeboorte,N,rebirth,de
15027,boekenwinkel,N,bookshop,de
15028,snoepgoed,N,sweets,het
15029,wilder,ADJ,wilder,
15030,huisvesten,WW,housing,
15031,asielzoeker,N,asylum seeker,de
15032,hopla,N,hopla,de
15033,syndicaat,N,syndicate,het
15034,toejuichen,WW,applaud,
15035,medicijnman,N,medicine man,de
15036,promotor,N,promoter,de
15037,juffie,N,Miss,het
15038,halfbloed,N,half-blood,de
15039,ontoelaatbaar,ADJ,inadmissible,
15040,porseleinen,ADJ,porcelain,
15041,gelid,N,rank,het
15042,kamertemperatuur,N,room temperature,de
15043,revalideren,WW,rehabilitate,
15044,kwark,N,cottage cheese,de
15045,moordaanslag,N,assassination attempt,de
15046,komijn,N,cumin,de
15047,fuseren,WW,merge,
15048,basiskamp,N,base camp,het
15049,yank,N,yank,de
15050,acupunctuur,N,acupuncture,de
15051,arbeidsovereenkomst,N,labor contract,
15052,sage,N,saga,de
15053,baars,N,perch,de
15054,verbeelden,WW,depict,
15055,werkruimte,N,workspace,de
15056,confederatie,N,confederation,de
15057,tiramisu,N,Tiramisu,de
15058,recordaantal,N,record number,het
15059,statisch,ADJ,static,
15060,opmeten,WW,to measure,
15061,malafide,ADJ,malicious,
15062,zuidpool,N,south pole,de
15063,bovenlip,N,upper lip,het
15064,ijzig,ADJ,icy,
15065,argumenteren,WW,argue,
15066,schol,N,plaice,de
15067,dassen,N,ties,de
15068,zachtheid,N,softness,
15069,zitkamer,N,sitting room,
15070,aanvangen,WW,commence,
15071,robijn,N,ruby,de
15072,overstijgen,WW,transcend,
15073,waterloo,N,waterloo,het
15074,everton,N,everton,
15075,kluizenaar,N,hermit,de
15076,novelle,N,novella,de
15077,oorlogsgebied,N,war zone,
15078,zaterdagnacht,N,Saturday night,
15079,hordes,N,hurdles,de
15080,hum,N,hum,het
15081,ijssalon,N,ice cream parlour,de
15082,duizeligheid,N,dizziness,bijvoeglijk
15083,melig,ADJ,mealy,
15084,eskader,N,squadron,het
15085,vrijgevigheid,N,generosity,de
15086,ploffen,WW,pop,
15087,afkopen,WW,buy off,
15088,meetbaar,ADJ,measurable,
15089,libido,N,libido,de
15090,hilariteit,N,hilarity,de
15091,collegegeld,N,tuition fees,het
15092,minimaliseren,WW,minimalize,
15093,terra,N,terra,
15094,uithangbord,N,signboard,het
15095,alarmcentrale,N,emergency center,de
15096,sensueel,ADJ,sensual,
15097,ventileren,WW,ventilate,
15098,desserts,N,desserts,het
15099,denkbeeldig,ADJ,imaginary,
15100,vluggertje,N,quickie,het
15101,strofe,N,stanza,de
15102,onverslaanbaar,ADJ,invincible,
15103,lotion,N,lotion,de
15104,bitterheid,N,bitterness,de
15105,lukraak,ADJ,haphazardly,
15106,grondstof,N,raw material,de
15107,zachtaardig,ADJ,soft hearted,
15108,enger,ADJ,scarier,
15109,sovjet,N,Soviet,de
15110,gehaktbrood,N,meatloaf,
15111,onbeantwoord,N,unanswered,
15112,toosten,WW,toast,
15113,klier,N,gland,de
15114,zenuwinzinking,N,nervous breakdown,
15115,dandy,N,dandy,de
15116,gekkigheid,N,craziness,
15117,moedertaal,N,native language,de
15118,jaargang,N,year,het
15119,vraaggesprek,N,interview,
15120,hamvraag,N,key question,de
15121,zomin,BW,as little,
15122,immigrant,N,immigrant,de
15123,zwoel,ADJ,sultry,
15124,digitaliseren,WW,digitize,
15125,billboard,N,billboard,het
15126,aanstoot,N,offense,
15127,recycling,N,recycling,de
15128,afreageren,WW,to react,
15129,rugklachten,N,back pain,mv
15130,navigatiesysteem,N,navigation system,het
15131,gehuil,ADJ,howling,
15132,godsdienstvrijheid,N,religious freedom,
15133,trossen,WW,bunches,
15134,sollicitatiebrief,N,application letter,de
15135,weerwoord,N,rebuttal,de
15136,dagopvang,N,daycare,de
15137,levensecht,ADJ,lifelike,
15138,opvoering,N,performance,werkwoord
15139,weerszijden,N,either side,
15140,tweeëntwintig,TW,twenty-two,
15141,petten,N,caps,de
15142,cracker,N,cracker,de
15143,vrouwelijkheid,N,femininity,de
15144,roestig,ADJ,rusty,
15145,turquoise,N,turquoise,het
15146,antidepressiva,N,antidepressants,het
15147,omschakeling,N,conversion,werkwoord
15148,instoppen,WW,tuck in,
15149,hergebruik,N,reuse,werkwoord
15150,skivakantie,N,skiing holiday,de
15151,enkeltje,N,one way ticket,de
15152,carpaccio,N,Carpaccio,de
15153,vollopen,WW,fill up,
15154,linkerarm,N,left arm,de
15155,belastingvrij,ADJ,tax free,
15156,ween,WW,Weep,
15157,zeespiegel,N,sea level,
15158,achterhouden,WW,withhold,
15159,ietsjes,N,slightly,bw
15160,dons,N,down,
15161,patstelling,N,stalemate,
15162,kuuroord,N,spa,het
15163,ondervroeg,WW,questioned,
15164,scoop,N,scoop,de
15165,callcenter,N,call center,het
15166,lichaamstemperatuur,N,body temperature,
15167,wisselvallig,ADJ,hit and miss,
15168,brij,N,mush,de
15169,zever,BW,shit,
15170,herroepen,WW,revoked,
15171,afleren,WW,unlearn,
15172,kortstondig,ADJ,momentary,
15173,keu,N,cue,de
15174,berk,N,birch,de
15175,kameleon,N,chameleon,de/het
15176,huiver,N,shudder,bijvoeglijk
15177,vijfendertig,TW,thirty-five,
15178,afdrogen,WW,dry,
15179,hogerhand,N,higher up,de
15180,dierenleed,N,animal cruelty,het
15181,stuntman,N,stuntman,de
15182,onderwater,N,Underwater,de
15183,drijvend,ADJ,floating,
15184,triomfantelijk,ADJ,triumphantly,
15185,keizers,N,emperors,de
15186,blaf,N,bark,het
15187,leuning,N,handrail,de
15188,buitenbeentje,N,misfit,het
15189,misvatting,N,misconception,werkwoord
15190,signatuur,N,signature,de
15191,folklore,N,folklore,de
15192,prat,ADJ,talk,
15193,furieus,ADJ,furious,
15194,chalet,N,chalet,de
15195,rolschaatsen,WW,roller skating,
15196,snotteren,WW,sniffle,
15197,duimpje,N,thumb,de
15198,bewakingscamera,N,security camera,de
15199,geschillen,N,disputes,de
15200,dosering,N,dosage,werkwoord
15201,harken,WW,raking,
15202,concertzaal,N,concert hall,het
15203,geblokt,WW,blocked,
15204,voltrekken,WW,accomplish,
15205,controlepost,N,checkpoint,de
15206,vaderschap,N,paternity,het
15207,proloog,N,prologue,de
15208,armoe,N,poverty,de
15209,victorie,N,victory,de
15210,sprinkhaan,N,grasshopper,de
15211,treur,N,mourn,
15212,beveiliger,N,security guard,werkwoord
15213,pleegouders,N,foster parents,
15214,dictee,N,dictation,het
15215,stiefdochter,N,stepdaughter,de
15216,nas,N,nas,de
15217,aanklikken,WW,click,
15218,tarten,WW,defy,
15219,bet,N,bet,
15220,bouwmarkt,N,construction market,
15221,akoestisch,ADJ,acoustic,
15222,wapper,N,flutter,werkwoord
15223,verdoe,N,damn,werkwoord
15224,geborgenheid,N,security,
15225,soundcheck,N,sound check,de
15226,bespottelijk,ADJ,ridiculous,
15227,meteoriet,N,meteorite,de
15228,leut,N,fun,de
15229,viervoeter,N,four-legged friend,
15230,neig,ADJ,tend,
15231,balanceren,WW,to balance,
15232,hoffelijk,ADJ,courteous,
15233,toestroom,N,influx,
15234,opbreken,WW,break up,
15235,hunne,VNW,theirs,
15236,voorstad,N,suburb,werkwoord
15237,cools,N,cools,de
15238,keelgat,N,throat hole,de
15239,arcade,N,arcade,de
15240,aardbodem,N,earth,de
15241,inzinking,N,slump,de
15242,bovendrijven,WW,float to the surface,
15243,inbegrip,N,including,de
15244,leien,ADJ,slates,
15245,veelheid,N,multitude,
15246,onwaar,ADJ,false,
15247,diepzinnig,ADJ,profound,
15248,kristen,N,Kristen,het
15249,afbranden,WW,burn down,
15250,negativiteit,N,negativity,de
15251,wenken,WW,beckons,
15252,schors,N,bark,de
15253,rondgang,N,tour,de
15254,internetbedrijf,N,internet company,
15255,genua,BW,Genoa,
15256,lijdensweg,N,agony,het
15257,poolen,WW,pool,
15258,flap,N,flap,de
15259,ooghoek,N,corner of the eye,de
15260,fundamentalisme,N,fundamentalism,het
15261,verruimen,WW,widen,
15262,witter,ADJ,whiter,
15263,optellen,WW,adding up,
15264,hetze,N,this,de
15265,cicero,N,Cicero,de
15266,kink,N,kink,de
15267,menopauze,N,menopause,de
15268,contributie,N,contribution,de
15269,gelazer,N,trouble,
15270,wroeging,N,remorse,de
15271,afzondering,N,seclusion,
15272,cilinder,N,cylinder,de
15273,panter,N,panther,de
15274,uitbetaling,N,payout,
15275,gezever,N,drivel,het
15276,marketingplan,N,marketing plan,de
15277,eergevoel,N,sense of honor,
15278,briefpapier,N,writing paper,
15279,gloeien,WW,glowing,
15280,pompstation,N,pumping station,
15281,koffiehuis,N,coffee house,de
15282,dubben,WW,dubbing,
15283,kippetje,N,chicken,het
15284,waterpeil,N,water level,het
15285,pleziertje,N,pleasure,het
15286,decoder,BW,decoder,
15287,tropen,N,tropics,mv.
15288,massamoord,N,mass murder,de
15289,deco,N,deco,werkwoord
15290,bloedtest,N,blood test,het
15291,tgv,N,due to,de
15292,matrozen,N,sailors,het
15293,trefzeker,ADJ,accurate,
15294,sample,N,sample,de/het
15295,alcoholisten,N,alcoholics,bijvoeglijk
15296,veulen,N,foal,werkwoord
15297,voedselvergiftiging,N,food poisoning,
15298,jaargetijde,N,season,het
15299,sores,N,sores,mv.
15300,condor,N,condor,de
15301,krekel,N,cricket,het
15302,staatspolitie,N,state police,
15303,recyclen,WW,to recycle,
15304,ketjap,N,soy sauce,de
15305,sterfdag,N,date of death,de
15306,keuzevrijheid,N,freedom of choice,
15307,declareren,WW,declare,
15308,autobiografisch,ADJ,autobiographical,
15309,verkassen,WW,relocate,
15310,vervoerde,WW,transported,
15311,aanbidder,N,admirer,de
15312,barrel,N,barrel,de
15313,bepleiten,WW,advocate,
15314,humane,N,humane,de
15315,deck,N,deck,de
15316,maneschijn,N,moonshine,de
15317,kidnappen,WW,kidnapping,
15318,klokslag,N,clock stroke,de
15319,omruilen,WW,exchange,
15320,eindredacteur,N,editor-in-chief,
15321,angsthaas,N,faint-hearted,
15322,bijkeuken,N,scullery,de
15323,doodmaken,WW,kill,
15324,wijzelf,VNW,ourselves,
15325,broedplaats,N,breeding ground,
15326,oneerbiedig,ADJ,irreverent,
15327,welvarende,ADJ,prosperous,
15328,krokusvakantie,N,spring break,de
15329,spitsuur,N,rush hour,het
15330,wereldkampioenschappen,N,world championships,
15331,ritsen,WW,zippers,
15332,gesteente,N,rock,het
15333,krampen,WW,cramps,
15334,creperen,WW,to die,
15335,embargo,N,embargo,het
15336,zoetje,N,sweetheart,het
15337,kerststal,N,Nativity scene,de
15338,terugblikken,WW,looking back,
15339,bevriezing,N,freezing,
15340,milligram,N,milligram,
15341,miep,N,miep,de
15342,humoristisch,ADJ,humorous,
15343,zeehond,N,seal,de
15344,autistisch,ADJ,autistic,
15345,samenloop,N,concurrence,de
15346,shuffle,ADJ,shuffle,
15347,waak,N,watch,de
15348,arbitrage,N,arbitration,de
15349,occulte,N,occult,
15350,meedingen,WW,compete,
15351,behartigen,WW,look after,
15352,gulzig,ADJ,greedy,
15353,hallucinatie,N,hallucination,de
15354,alarmerend,ADJ,alarming,
15355,snakken,WW,long,
15356,superlekker,ADJ,delicious,
15357,coöperatie,N,cooperative,de
